Slug,Title,Published,1 Day,7 Days,14 Days,30 Days,90 Days,Spotify,All Time
244,244: Introduction to Microservices,2021-03-08,"2,067","3,958","4,223","4,531","5,040",255,"6,363"
243,243: Lessons Learned - 3 Years of FuGet,2021-03-01,"1,779","4,090","4,533","4,782","5,157",96,"6,231"
242,"242: Mac Backups, Store Promotion, & Multi-Window Apps with SceneDelegate",2021-02-22,"1,675","3,843","3,991","4,168","4,546",72,"5,494"
241,"241: Goodbye DTK, Hello Mac App Development",2021-02-15,"1,766","3,676","3,866","4,074","4,474",97,"5,480"
240,"240: Stonks, Robots, and Cross-Platform IAP",2021-02-08,"1,892","4,136","4,322","4,505","4,886",91,"5,860"
239,239: Planning an App Release,2021-02-01,"2,056","4,461","4,742","4,938","5,296",98,"6,338"
238,238: Island Tracker - The Final Chapter,2021-01-25,"1,724","4,572","4,744","4,954","5,240",76,"6,273"
237,237: Bot Awesome,2021-01-18,"1,735","4,192","4,444","4,609","4,905",70,"5,887"
236,236: Supporting Your Customers,2021-01-11,"2,357","4,383","4,582","4,749","5,045",80,"6,172"
235,235: Holiday Hack Success!,2021-01-04,"1,988","5,347","5,574","5,756","6,000",88,"6,945"
234,234: Goodbye 2020! Let's ship some apps!,2020-12-28,"2,021","4,843","5,678","6,018","6,316",84,"7,405"
233,233: Bluetooth is Mind-blowing!,2020-12-21,"2,192","4,343","4,737","5,056","5,368",137,"6,653"
232,"232: AirPods Max, Apple Fitness+, and AR/VR Indoor Cycling",2020-12-14,"2,045","4,395","4,642","4,991","5,239",80,"6,266"
231,231: No M1 Talk We Promise... 🤞🤔🤫,2020-12-07,"1,874","2,969","3,147","3,353","3,600",97,"4,669"
230,230: QA Testing M1 iOS Apps + 21% Raise for Frank!,2020-11-30,"3,003","5,204","5,442","5,695","5,974",83,"6,989"
229,229: Selling iOS Apps on M1 Apple Silicon,2020-11-23,"1,840","4,705","5,816","6,059","6,366",92,"7,373"
228,228: .NET Conf 2020 & Apple M1 Event Recap,2020-11-16,"2,341","5,024","5,349","5,662","6,059",164,"7,276"
227,227: Databases!,2020-11-09,"2,234","5,131","5,430","5,743","6,211",187,"8,697"
226,226: Universal Custom Data Link Schemes,2020-11-02,"1,792","4,058","5,971","6,189","6,509",89,"7,608"
225,225: Frank Got Catalyst for Xamarin.iOS Working!,2020-10-26,"2,241","5,073","6,447","6,787","7,080",102,"8,214"
224,224: iPhone 12 is here with magnets!,2020-10-19,"2,120","4,875","6,943","7,316","7,609",98,"8,630"
223,223: How App Updates Work,2020-10-12,"1,913","4,178","6,029","7,351","7,677",139,"8,818"
222,222: Cool New Tech,2020-10-05,"1,992","4,655","6,150","6,405","6,665",109,"7,826"
221,"221: Swift on Windows, Clean Code, and iOS 14",2020-09-28,"1,966","4,489","5,492","5,776","6,114",119,"7,218"
220,220: Apple Event Recap - Apple Watch Series 6 & New iPad Air,2020-09-21,"1,997","5,512","6,040","6,469","6,746",99,"7,871"
219,"219: Move over float, it is time for Half",2020-09-14,"1,930","4,117","6,324","6,566","6,890",166,"8,032"
218,218: The One About Blazor,2020-09-07,"2,233","5,168","6,664","7,084","7,553",230,"9,103"
217,217: Frank's Custom Identity Service,2020-08-31,"2,149","3,801","4,063","4,372","4,774",160,"5,997"
216,216: GaaS - GUID as a Service,2020-08-24,"1,827","3,197","3,576","3,920","4,366",140,"5,665"
215,215: Model Intermediate Language,2020-08-17,"1,871","4,021","4,314","4,618","5,043",121,"6,302"
214,214: Switching from Android to iPhone,2020-08-10,"2,047","5,365","6,176","6,641","7,149",154,"8,628"
213,213: GPT-3,2020-08-03,"2,041","4,524","6,087","6,499","6,968",129,"8,293"
212,"212: Model-View-Update (MVU) - What, Why, How",2020-07-27,"2,146","5,521","7,290","7,797","8,614",174,"10,674"
211,211: Failure To Launch,2020-07-20,"1,925","4,240","5,445","5,750","6,274",116,"7,517"
210,210: I Should Buy a Mac Mini Every Summer,2020-07-13,"1,897","3,974","4,223","4,494","5,094",120,"6,289"
209,209: Working from Home,2020-07-06,"2,042","4,021","4,277","4,520","5,065",126,"6,326"
208,208: WWDC Detox + DTK Hype,2020-06-29,"2,139","4,978","5,314","5,651","6,180",105,"7,406"
special-edition-wwdc20,207.5: WWDC20 Recap,2020-06-24,"2,198","4,432","4,927","5,238","5,882",109,"7,330"
206,206: IoT Build Status with BuildLight,2020-06-15,"1,758","4,019","4,286","4,483","5,036",73,"6,222"
205,205: Monetization,2020-06-08,"1,778","3,450","3,657","3,900","4,308",105,"5,687"
204,204: Going Freemium,2020-06-01,"1,763","3,578","3,849","4,081","4,561",110,"5,895"
203,203: Updating Open Source Projects,2020-05-25,"1,679","3,601","3,867","4,094","4,465",100,"5,789"
202,202: Let's Start a Business,2020-05-18,"1,853","4,039","4,334","4,640","5,075",141,"6,575"
201,201: Release It Already!,2020-05-11,"1,806","3,940","4,164","4,454","4,866",113,"6,195"
200,200: Have We Reached Peak Merge Conflict?,2020-05-04,"1,759","3,788","3,953","4,158","4,495",131,"5,882"
199,"199: Update, Rewrite, or Throw It Away",2020-04-27,"1,928","4,461","4,639","4,854","5,162",165,"6,619"
198,198: Why Can't We Be Friends,2020-04-20,"1,816","4,018","4,224","4,434","4,744",98,"6,088"
197,197: I Need a Website,2020-04-13,"1,792","4,223","4,471","4,782","5,209",94,"6,630"
196,196: Our Future Is Now,2020-04-06,"2,031","4,692","4,902","5,152","5,516",103,"6,786"
195,195: The Hanselman Machine Learning Model,2020-03-30,"1,847","4,239","4,460","4,705","5,054",107,"6,440"
194,194: The Day The iPad Became a Laptop,2020-03-23,"2,113","6,112","6,329","6,556","6,877",109,"8,228"
193,193: UI Is Messy,2020-03-16,"2,015","5,851","7,457","7,697","8,067",185,"9,766"
192,192: Getting Started with Live Streaming,2020-03-09,"1,966","5,095","5,388","5,599","5,920",111,"7,377"
191,191: An Odious Prime Deficient Number,2020-03-02,"2,094","4,540","4,771","5,074","5,331",140,"6,739"
190,190: The Creation of Appstat with Frank,2020-02-24,"2,070","3,946","4,231","4,619","4,923",137,"6,276"
189,189: Enter the era of dual-screen development,2020-02-17,"1,994","4,160","4,440","4,834","5,197",147,"6,559"
188,188: Frank Teaches James Electricity,2020-02-10,"1,753","2,738","2,979","3,267","3,479",110,"4,776"
187,187: Blasting Off with Jupyter Notebooks,2020-02-03,"1,998","3,703","3,991","4,328","4,731",141,"6,123"
186,186: Hot Hot Hot,2020-01-27,"2,038","4,064","4,415","4,776","5,222",163,"6,661"
185,185: Frank Hates Dark Mode,2020-01-20,"2,098","4,406","4,686","5,040","5,600",148,"6,870"
184,184: Building 3D Apps with SceneKit,2020-01-13,"1,971","3,795","4,113","4,423","4,953",131,"6,512"
183,183: How This Thing Is Made,2020-01-06,"1,954","3,441","3,711","4,058","4,631",185,"5,944"
182,182: Introduction to Electrical Engineering,2019-12-30,"1,883","4,216","4,833","5,320","6,165",725,"9,083"
181,181: Hacking The Holidays,2019-12-23,"2,024","3,523","4,664","5,069","5,688",119,"7,012"
180,180: Cloud Powered GPUs,2019-12-16,"2,160","4,575","4,786","5,112","5,718",123,"7,033"
179,179: Analyzing All That Data,2019-12-09,"2,352","4,577","4,973","5,302","5,951",146,"7,483"
178,178: Building C# with Mads Torgersen,2019-12-02,"2,290","4,822","5,151","5,493","6,262",199,"7,979"
177,"177: DevOps, DevOps, DevOps",2019-11-25,"2,709","5,370","5,834","6,208","7,007",219,"8,944"
176,176: The Ultimate Developer Machine,2019-11-18,"2,540","5,518","6,002","6,402","7,012",174,"8,663"
175,175: #nullable enable,2019-11-11,"2,372","4,550","4,887","5,256","5,881",169,"7,500"
174,174: LangVersion ??= C# 8,2019-11-04,"2,536","4,967","5,482","5,985","6,645",216,"8,547"
173,173: RISC Is Good,2019-10-28,"2,328","5,102","5,657","6,032","6,582",149,"8,164"
172,172: Who Turned Out The Lights?,2019-10-21,"2,316","4,956","5,311","5,660","6,181",132,"7,782"
171,171: The Beta Hangover,2019-10-14,"2,160","3,531","3,773","3,988","4,241",134,"5,463"
170,170: 10 Ways To Develop Faster And Better,2019-10-07,"2,332","4,624","5,107","5,662","6,506",278,"8,600"
169,169: A Love Letter To Immutable Data,2019-09-30,"3,326","5,909","6,542","7,280","8,051",200,"9,871"
168,168: The World of Protocol Buffers,2019-09-23,"2,415","4,466","4,933","5,525","6,422",170,"8,424"
167,167: My Phone's CPU Has 8.5 Billion Transistors,2019-09-16,"2,376","5,041","5,479","6,093","6,870",111,"8,357"
166,166: Disconnecting with a Feature Phone,2019-09-09,"2,407","4,473","5,071","5,663","6,566",112,"8,151"
165,165: IoT Gifts Make The Best Gifts,2019-09-02,"2,287","4,317","4,788","5,544","6,694",88,"8,142"
164,164: Modding the Game Boy Color,2019-08-26,"2,373","4,749","5,366","6,011","7,225",103,"8,703"
163,"163: ""Borrowing"" Code from the Internet",2019-08-19,"2,474","5,231","5,712","6,414","7,676",167,"9,262"
162,162: Throttle Those Cancellations,2019-08-12,"2,366","4,663","5,259","5,879","7,202",156,"8,800"
161,161: The World of Embedded Hardware,2019-08-05,"2,371","4,559","5,038","5,520","6,943",113,"8,540"
160,"160: Infrastructure as Code, Signing Packages, & 1 Million Downloads",2019-07-29,"2,430","4,861","5,445","5,971","7,374",138,"9,079"
159,"159: Cut, Copy, Paste, Delete, Undo",2019-07-22,"2,315","4,466","4,813","5,294","6,645",103,"8,436"
158,158: Everything Is Awesome,2019-07-15,"2,641","4,994","5,309","5,760","7,039",115,"8,721"
157,157: FOMO UI Design,2019-07-08,"2,532","5,264","5,659","6,154","7,413",100,"9,322"
156,156: SwiftUI's Tasty Architecture,2019-07-01,"2,905","5,699","6,099","6,499","7,678",110,"9,705"
155,155: Hello iPadOS,2019-06-24,"2,742","5,413","5,811","6,201","7,347",132,"9,468"
154,154: Homemade IoT Lights,2019-06-17,"2,387","4,524","4,879","5,326","6,206",111,"8,615"
153,153: Building Machine Learning Robots! ,2019-06-10,"2,484","4,808","5,174","5,656","6,473",106,"8,732"
special-edition-wwdc19,"Special Edition: WWDC19 Recap: Mac Pro, Project Catalyst, SwiftUI, iPadOS, & Security",2019-06-04,"3,635","7,008","7,708","8,552","9,750",176,"12,426"
152,"152: Refreshing Hanselman.Forms - Visual, CollectionView, & Serverless Backend",2019-06-03,"2,582","4,489","4,843","5,330","6,327",110,"8,584"
151,151: The Future of the Future of .NET,2019-05-27,"2,559","5,513","5,964","6,433","7,494",164,"10,037"
150,150: We Have Lift Off,2019-05-20,"2,579","5,100","5,932","6,279","7,135",89,"9,077"
149,149: .NET Powered Political Campaign,2019-05-13,"2,449","4,930","5,222","5,574","6,433",74,"8,438"
148,148: When App Developers Get Together,2019-05-06,"2,509","4,806","5,227","5,620","6,474",100,"8,396"
147,147: I'm a Mac Developer!,2019-04-29,"2,652","5,049","5,309","5,675","6,322",110,"7,989"
146,"146: Dependency Injection, Inversion of Control, and HttpClientFactory",2019-04-22,"2,697","5,418","5,948","6,532","7,459",247,"9,718"
145,145: IoT Goes .NET Core,2019-04-15,"2,619","4,721","5,133","5,590","6,381",94,"7,988"
144,144: Package Up Those .NET Core 3 Apps,2019-04-08,"2,846","5,028","5,354","5,721","6,371",118,"8,001"
143,143: It's a Services Episode,2019-04-01,"2,951","6,234","6,512","6,972","7,882",110,"9,366"
142,142: Super Speed with AOT & LLVM,2019-03-25,"3,066","6,165","6,724","7,166","7,754",135,"9,465"
141,141: Visual Studio 2019 HYPE,2019-03-18,"3,109","5,520","6,484","6,990","7,562",124,"9,299"
140,140: Visual Dreams and WebAssembly Wishes,2019-03-11,"2,619","4,919","5,598","6,091","6,671",128,"8,240"
139,139: Foldables == Tablets on Demand,2019-03-04,"2,467","4,776","5,084","5,558","6,026",109,"7,563"
138,138: Organized Productivity,2019-02-25,"2,596","4,667","5,079","5,562","6,174",103,"7,818"
137,137: Tweaking UI to Perfection,2019-02-18,"2,407","4,433","4,882","5,451","6,130",97,"7,896"
136,136: I Love PInvoke,2019-02-11,"2,542","4,492","4,825","5,185","5,814",106,"7,471"
135,135: Aspirational Office,2019-02-04,"2,603","4,310","4,648","5,029","5,613",111,"6,994"
134,134: SQLite On The Server,2019-01-28,"2,772","5,399","5,772","6,276","6,944",106,"9,560"
133,133: Indie App Marketing,2019-01-21,"2,664","5,254","5,607","6,027","6,649",80,"8,055"
132,132: The Life & Times of Frank Krueger,2019-01-14,"2,889","6,237","6,651","7,109","7,975",147,"9,859"
131,131: Three Degrees of Freedom,2019-01-07,"2,403","4,692","5,279","5,545","6,125",68,"7,461"
130,130: 2018 Retrospective & 2019 Predictions,2018-12-31,"2,231","5,052","5,771","6,253","7,042",97,"8,741"
129,129: Never Nullable (Null Bad) ,2018-12-24,"2,208","4,631","5,897","6,409","7,210",106,"9,055"
128,128: Professional Application Performance Monitoring,2018-12-17,"2,666","4,656","5,230","5,742","6,585",135,"8,510"
127,"127: Connect(); 2018 Recap - .NET Core 3, VS 2019, Xamarin.Forms 4, and More!",2018-12-10,"3,323","6,745","7,442","7,994","8,902",135,"10,868"
126,126: Collaborative Coding Magic,2018-12-03,"2,467","4,595","4,954","5,249","5,738",95,"7,436"
125,125: Getting Fancy With Bluetooth Low Energy,2018-11-26,"2,743","5,064","5,590","5,939","6,477",92,"9,230"
124,124: All In On .NET Standard 2.1,2018-11-19,"2,867","6,212","6,804","7,306","7,921",109,"9,913"
123,123: Gimme Five Stars!,2018-11-12,"2,543","5,419","5,986","6,331","6,871",82,"8,531"
122,122: Today's Lecture... Debug Symbols,2018-11-05,"2,659","5,311","6,741","7,165","7,820",108,"9,596"
121,121: Real Time Communication,2018-10-29,"3,032","5,681","6,684","7,125","7,708",110,"9,511"
120,120: Rapid Fire Topics,2018-10-22,"2,614","5,660","6,279","6,697","7,206",78,"8,788"
119,119: RESTQL,2018-10-15,"2,867","5,587","6,048","6,531","7,139",102,"9,111"
118,118: Undo Architectures,2018-10-08,"2,476","5,015","5,565","6,016","6,542",81,"8,250"
117,117: Getting to the Metal of Metal,2018-10-01,"2,567","5,478","6,230","6,756","7,334",55,"8,841"
116,"116: iOS 12's ""Revolutionary"" Shortcuts",2018-09-24,"2,638","4,894","5,338","5,842","6,503",42,"7,918"
115,115: Apple Event Recap & Smart Homes 3.0,2018-09-17,"2,989","5,742","6,236","6,695","7,309",53,"12,704"
114,114: Clean Code Styling,2018-09-10,"2,877","5,985","6,616","7,417","8,332",133,"10,187"
113,113: The 30% App Developer Tax,2018-09-03,"2,656","5,739","6,442","7,231","8,122",90,"9,947"
112,112: Decrypting Encryption,2018-08-27,"3,325","6,121","7,459","8,154","9,193",61,"10,885"
111,111: The Three Equals of a Struct,2018-08-20,"2,844","4,850","5,391","5,941","7,171",42,"9,327"
110,110: The Future of App Development,2018-08-13,"2,639","4,416","4,995","5,665","6,969",39,"8,872"
109,109: Neural Network C# Predictions for Everyone,2018-08-06,"2,469","4,127","4,734","5,359","6,615",37,"8,507"
108,108: .NET Standard Wants & Modernizing Win32 Apps,2018-07-30,"2,602","4,209","4,849","5,606","6,837",29,"8,608"
107,107: App-Centric vs Developer-Centric,2018-07-23,"2,458","3,962","4,543","5,449","6,625",32,"8,230"
106,106: We Know Nothing About Anything,2018-07-16,"2,568","3,999","4,570","5,477","6,830",24,"8,430"
105,105: Marzipanifying Apps,2018-07-09,"2,221","3,416","3,882","4,736","6,185",11,"7,802"
104,104: Learning From Our Users,2018-07-02,"2,276","3,821","4,294","5,123","6,707",21,"8,602"
103,103: .NET Everywhere with Miguel de Icaza,2018-06-25,"2,485","4,373","4,973","5,844","7,690",39,"9,838"
102,"102: Mono.Cecil, Linker, and Unity Updates with Jb Evain",2018-06-18,"2,137","3,539","4,046","4,842","6,710",21,"9,294"
101,101: GitHub Acquired & WWDC 2018 Fully Recapped,2018-06-11,"2,869","4,566","5,415","6,303","8,369",10,"10,938"
100,100: Rambling Our Way Through 100 Episodes,2018-06-04,"3,025","4,862","5,511","6,448","8,817",24,"10,984"
99,Merge Conflict 99: Inclusive App Design & Seeing AI with Saqib Shaikh,2018-05-28,"1,920","3,530","3,857","4,689","6,874",13,"9,388"
98,Merge Conflict 98: Machine Learning for Space Exploration with Paige Bailey,2018-05-21,"2,545","3,823","4,420","5,152","7,719",24,"10,018"
97,Merge Conflict 97: GitHub + App Center = 💖,2018-05-14,"2,314","3,693","4,151","4,934","7,345",16,"9,711"
96,Merge Conflict 96: Throw Away All Architecture,2018-05-07,"2,627","4,460","5,201","6,147","8,698",35,"12,409"
95,Merge Conflict 95: Just Link It All Away,2018-04-30,"2,116","3,589","4,166","4,946","7,166",25,"9,897"
94,Merge Conflict 94: Everyone Loves Architecture,2018-04-23,"2,176","3,845","4,382","5,454","7,663",25,"11,132"
93,Merge Conflict 93: Follow the Audit Trail,2018-04-16,"2,102","3,324","3,750","4,581","6,776",12,"9,836"
92,Merge Conflict 92: Writable Contiguous Memories,2018-04-09,"2,044","3,108","3,473","4,246","6,390",20,"9,765"
91,Merge Conflict 91: Game Development Chit-chat,2018-04-02,"1,939","3,020","3,341","3,908","6,138",14,"11,547"
special-edition-apple-education-event,Special Edition: Apple's Plan to Invade Classrooms,2018-03-28,"1,969","3,008","3,221","3,679","5,798",4,"9,353"
90,Merge Conflict 90: Going Reactive with Progressive Flutter Apps,2018-03-26,"2,141","3,315","3,557","4,080","6,298",17,"9,790"
89,Merge Conflict 89: WebAssembly + Mono == .NET In Your Browser,2018-03-19,"2,270","3,677","4,223","4,727","6,865",16,"10,766"
88,Merge Conflict 88: Getting Hip to F#,2018-03-12,"2,406","3,550","3,929","4,386","6,308",17,"9,784"
87,Merge Conflict 87: Cross-Platform Is So Easy I Don't Even Have to Do It,2018-03-05,"2,357","3,957","4,446","4,999","7,284",13,"10,609"
86,Merge Conflict 86: Containerized Pod Development,2018-02-26,"2,233","3,562","4,040","4,605","6,415",8,"9,912"
85,Merge Conflict 85: All I Want To Do Is Multi-Target,2018-02-19,"2,118","3,662","4,128","4,938","6,584",8,"9,826"
84,Merge Conflict 84: Accidental Web Developer Podcast,2018-02-12,"2,296","3,671","4,072","4,559","5,997",25,"9,413"
83,Merge Conflict 83: Fear of Breaking the World,2018-02-05,"2,112","3,411","3,784","4,376","5,534",15,"8,970"
82,Merge Conflict 82: Broken Backs and Updating Apps,2018-01-29,"1,784","2,721","2,974","3,357","4,314",14,"7,199"
81,Merge Conflict 81: It Takes Two to Debug,2018-01-22,"2,266","3,551","3,796","4,189","5,132",19,"8,491"
80,Merge Conflict 80: It's Your Fault We Couldn't Name This Episode,2018-01-15,"2,213","3,455","3,758","4,080","4,958",18,"8,148"
79,Merge Conflict 79: Frank Justifies His iMac Pro,2018-01-08,"2,309","3,948","4,247","4,714","5,516",12,"8,446"
78,Merge Conflict 78: This One is Actually Good,2018-01-01,"1,988","5,050","5,672","6,024","6,896",11,"9,702"
77,Merge Conflict 77: `dotnet pack holiday`,2017-12-25,"1,702","3,304","3,780","4,348","5,128",16,"8,402"
76,Merge Conflict 76: We Can't Solve Everyone's Problem,2017-12-18,"2,169","3,559","3,952","4,390","5,296",32,"8,882"
75,Merge Conflict 75: The Hello World of Video Production,2017-12-11,"2,062","3,084","3,276","3,579","4,263",13,"6,649"
74,"Merge Conflict 74: App Distribution, the Hard Way",2017-12-04,"2,113","3,257","3,503","3,807","4,592",13,"7,253"
73,Merge Conflict 73: Program Language Evolution,2017-11-27,"1,869","2,845","3,058","3,293","3,874",19,"5,837"
merge-conflict-72-xamarin-forms-on-the-web,Merge Conflict 72: Xamarin.Forms on the Web,2017-11-20,"2,353","3,806","4,131","4,690","5,586",11,"7,974"
merge-conflict-71-continuous-everything-with-devops,Merge Conflict 71: Continuous Everything with DevOps,2017-11-13,"2,112","3,498","3,808","4,172","4,700",16,"7,036"
merge-conflict-70-cloud-dollars,Merge Conflict 70: Cloud $$$$,2017-11-06,"2,163","3,833","4,128","4,485","4,950",15,"6,919"
merge-conflict-69-copy-pasta,Merge Conflict 69: Copy Pasta,2017-10-30,"2,011","3,101","3,489","3,840","4,456",11,"6,454"
merge-conflict-68-throw-some-xaml-in-it,Merge Conflict 68: Throw Some XAML In It,2017-10-23,"2,161","3,292","3,530","3,960","4,451",10,"6,620"
merge-conflict-67-surviving-a-hackathon,Merge Conflict 67: Surviving a Hackathon,2017-10-16,"1,677","2,817","3,005","3,328","3,789",14,"5,659"
merge-conflict-66-drawing-pixels-with-skiasharp,Merge Conflict 66: Drawing Pixels with SkiaSharp,2017-10-09,"2,055","3,154","3,385","3,772","4,576",26,"8,751"
merge-conflict-65-worst-plan-ever,Merge Conflict 65: Worst Plan Ever,2017-10-02,"2,098","3,502","3,733","3,957","4,579",19,"7,064"
merge-conflict-64-machine-learning-as-a-service,Merge Conflict 64: Machine Learning as a Service,2017-09-25,"1,908","3,314","3,532","3,779","4,391",12,"6,324"
merge-conflict-63-who-needs-a-phone-anymore,Merge Conflict 63: Who Needs a Phone Anymore,2017-09-18,"1,967","3,626","4,009","4,291","4,757",14,"6,741"
merge-conflict-62-snacking-on-android-oreo,Merge Conflict 62: Snacking on Android Oreo,2017-09-11,"1,795","2,983","3,200","3,498","4,120",15,"6,136"
merge-conflict-61-getting-to-the-core-of-arcore,Merge Conflict 61: Getting to the Core of ARCore,2017-09-04,"1,595","2,876","3,108","3,353","3,955",18,"7,510"
merge-conflict-60-hacking-franks-apartment,Merge Conflict 60: Hacking Frank's Apartment,2017-08-28,"1,790","2,905","3,234","3,578","3,995",19,"6,285"
merge-conflict-59-managing-open-source-projects,Merge Conflict 59: Managing Open Source Projects,2017-08-21,"1,762","3,116","3,305","3,718","4,193",23,"6,105"
merge-conflict-58-dealing-with-rejection,Merge Conflict 58: Dealing with Rejection,2017-08-14,"2,491","3,717","3,936","4,210","4,665",14,"6,504"
merge-conflict-57-lets-learn-the-machines,Merge Conflict 57: Let's Learn the Machines,2017-08-07,"1,566","2,792","3,095","3,429","3,889",14,"5,970"
merge-conflict-56-take-on-arkit,Merge Conflict 56: Take on ARKit,2017-07-31,"1,668","3,025","3,281","3,580","4,032",13,"9,821"
merge-conflict-55-mac-vs-pc,Merge Conflict 55: Mac vs PC,2017-07-24,"1,862","3,046","3,437","3,863","4,589",14,"6,863"
merge-conflict-54-dropping-in-on-the-ipad,Merge Conflict 54: Dropping in on the iPad,2017-07-17,"1,605","2,996","3,251","3,483","4,045",14,"7,518"
merge-conflict-53-document-all-the-things,Merge Conflict 53: Document All The Things,2017-07-10,"1,636","2,983","3,325","3,687","4,471",22,"6,721"
merge-conflict-52-bug-fixes-and-improvements,Merge Conflict 52: Bug Fixes and Improvements,2017-07-03,"1,498","3,003","3,231","3,494","4,084",16,"5,966"
merge-conflict-51-the-core-developer-experience,Merge Conflict 51: The Core Developer Experience,2017-06-26,"1,652","2,864","3,122","3,428","4,049",21,"6,644"
merge-conflict-50-we-have-standards,Merge Conflict 50: We Have Standards,2017-06-19,"1,635","3,151","3,445","3,679","4,141",18,"6,005"
merge-conflict-49-the-magic-of-mvvm,Merge Conflict 49: The Magic of MVVM,2017-06-12,"1,959","3,593","4,282","4,789","5,475",65,"9,192"
special-edition-wwdc-2017-recap,Special Edition: WWDC 2017 Recap,2017-06-08,"2,079","4,055","4,542","4,946","5,481",23,"9,461"
merge-conflict-48-frank-mocks-interfaces,Merge Conflict 48: Frank Mocks Interfaces,2017-06-05,"1,606","2,941","3,197","3,403","3,726",23,"6,193"
merge-conflict-47-you-got-some-fsharp-in-my-csharp,Merge Conflict 47: You Got Some F# in My C#,2017-05-29,"1,419","4,334","4,687","5,042","5,677",19,"8,061"
merge-conflict-46-building-the-xamarin-live-player,Merge Conflict 46: Building the Xamarin Live Player,2017-05-22,"1,759","2,795","3,095","3,358","3,812",17,"5,703"
merge-conflict-45-build-2017-no-more-msbuild,Merge Conflict 45: Build 2017 - No More MSBuild,2017-05-15,"4,191","5,950","6,233","6,530","6,911",18,"8,951"
merge-conflict-44-i-love-callbacks,Merge Conflict 44: I Love Callbacks,2017-05-08,"2,088","3,267","3,568","3,891","4,468",38,"6,786"
merge-conflict-43-devops-for-the-solo-developer,Merge Conflict 43: DevOps for the Solo Developer,2017-05-01,"1,955","3,041","3,318","3,696","4,190",31,"6,953"
merge-conflict-42-code-coverage-equals-quality,Merge Conflict 42: Code Coverage == Quality,2017-04-24,"1,719","3,077","3,351","3,625","4,100",33,"6,335"
merge-conflict-41-print-me-up-scotty,"Merge Conflict 41: Print me up, Scotty",2017-04-17,"1,602","2,936","3,136","3,334","3,692",17,"5,288"
merge-conflict-40-setting-expectations,Merge Conflict 40: Setting Expectations,2017-04-10,"1,576","2,956","3,198","3,398","3,791",14,"5,490"
merge-conflict-39-parsing-palindromes,Merge Conflict 39: Parsing Palindromes,2017-04-03,"1,543","2,704","2,981","3,213","3,575",21,"5,377"
merge-conflict-38-one-library-to-rule-them-all,Merge Conflict 38: One Library to Rule Them All,2017-03-27,"1,713","3,110","3,458","3,765","4,291",18,"6,843"
merge-conflict-37-tls-how-do-you-even,Merge Conflict 37: TLS - How Do You EVEN,2017-03-20,"1,500","2,721","2,935","3,206","3,639",20,"6,670"
merge-conflict-36-sorry-iphone-4,Merge Conflict 36: Sorry iPhone 4,2017-03-13,"1,456","2,554","2,738","2,938","3,257",17,"5,517"
merge-conflict-35-security-through-obscurity,Merge Conflict 35: Security Through Obscurity,2017-03-06,"1,168","2,132","2,393","2,689","3,067",21,"5,548"
merge-conflict-34-developing-for-macos,Merge Conflict 34: Developing for macOS,2017-02-27,"1,173","2,097","2,319","2,596","2,893",19,"5,001"
merge-conflict-33-prepping-for-disaster,Merge Conflict 33: Prepping for Disaster,2017-02-20,"1,015","1,777","1,946","2,220","2,500",17,"4,741"
merge-conflict-32-building-super-computers,"Merge Conflict 32: Building ""Super"" Computers",2017-02-13,"1,082","1,876","2,087","2,281","2,578",15,"4,269"
merge-conflict-31-one-ui-to-rule-them-all,Merge Conflict 31: One UI to Rule Them All,2017-02-06,"1,203","2,000","2,170","2,419","3,020",14,"5,176"
58911-merge-conflict-30-the-one-with-no-conflicts,Merge Conflict 30: The One with No Conflicts,2017-01-30,0,887,"1,113","1,283","1,883",16,"4,475"
58285-merge-conflict-29-what-developers-ought-to-try-in-2017,Merge Conflict 29: What Developers Ought to Try in 2017,2017-01-23,0,15,107,293,770,17,"2,802"
57678-merge-conflict-28-demystifying-in-app-purchases,Merge Conflict 28: Demystifying In-App Purchases,2017-01-16,0,0,2,481,840,30,"4,072"
56882-merge-conflict-27-coding-around-the-globe,Merge Conflict 27: Coding Around the Globe,2017-01-09,0,0,0,30,277,11,"2,178"
54485-merge-conflict-26-a-pinch-of-php-and-a-dash-of-js,Merge Conflict 26: A Pinch of PHP and a Dash of JS,2017-01-02,0,0,0,0,247,15,"2,039"
54484-merge-conflict-25-holidayhacks,Merge Conflict 25: #HolidayHacks,2016-12-26,0,0,0,0,195,13,"1,875"
54483-merge-conflict-24-everyone-needs-extensions,Merge Conflict 24: Everyone Needs Extensions,2016-12-19,0,0,0,0,220,25,"1,986"
54482-merge-conflict-23-orm-or-bust,Merge Conflict 23: ORM or Bust,2016-12-12,0,0,0,0,184,19,"2,498"
53956-merge-conflict-22-designing-apps-the-developer-way,Merge Conflict 22: Designing Apps the Developer Way,2016-12-05,0,0,0,0,84,13,"2,176"
53869-merge-conflict-21-always-be-profiling-code,Merge Conflict 21: Always Be Profiling Code,2016-11-28,0,0,0,0,52,12,"1,943"
53305-merge-conflict-20-lightning-talks-round-2,Merge Conflict 20: Lightning Talks Round 2,2016-11-21,0,0,0,0,35,18,"1,888"
52857-merge-conflict-19-home-automation-api-integration-2-0,Merge Conflict 19: Home Automation API Integration 2.0,2016-11-14,0,0,0,0,21,14,"1,955"
